name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
BARN,Barry Callebaut AG,SIX,1192.00,CHF,0.76,1.36,-10.31,-16.41,-4.18,-8.87,51.56,-41.05,1.62,407.23,2.36,3.60,1176.10,1211.93,1275.56,1306.32,1213.39,47.95,3,SIDEWAYS,NEUTRAL
SALM,SalMar ASA,OSL,546.00,NOK,0.18,-0.27,-1.36,-8.70,-5.04,-11.29,11.20,-11.65,139.47,1215.66,2.78,2.93,545.45,551.62,556.67,569.82,555.35,48.33,3,SIDEWAYS,NEUTRAL
SYENS,Syensqo SA/NV,EURONEXT,57.60,EUR,-4.08,-2.37,10.13,-28.09,-19.87,-15.81,-14.44,-36.00,-36.00,-36.00,3.01,3.04,57.66,54.60,51.90,62.05,66.61,55.59,3,SIDEWAYS,NEUTRAL
ICG,ICG plc,LSE,1861.00,GBX,0.76,-2.41,8.07,9.79,-2.72,-8.42,-10.18,-7.41,190.55,1722.79,2.05,3.24,1869.60,1780.87,1686.30,1782.78,1945.29,60.70,3,SIDEWAYS,NEUTRAL
BC,Brunello Cucinelli S.p.A.,MIL,82.80,EUR,-0.29,-3.50,0.29,-3.29,-8.67,-16.36,-24.42,88.61,379.72,711.76,2.37,2.71,83.31,82.66,78.93,83.64,88.85,51.14,3,SIDEWAYS,NEUTRAL
GFC,Gecina SA,EURONEXT,71.85,EUR,0.42,-2.38,0.49,-3.75,-11.84,-11.19,-19.54,-44.54,-40.28,287.79,1.16,1.49,72.49,71.75,70.81,74.59,78.66,49.26,3,SIDEWAYS,NEUTRAL
TEMN,Temenos AG,SIX,69.80,CHF,-3.19,-7.85,1.82,5.28,-6.31,-12.48,13.59,-46.14,32.57,238.83,3.17,3.37,73.93,73.53,73.28,73.18,71.32,38.83,3,SIDEWAYS,NEUTRAL
PNDORA,Pandora A/S,OMXCOP,516.20,DKK,1.02,-6.15,7.10,-3.94,-34.24,-27.19,-53.58,-30.52,-45.95,128.91,3.90,3.55,517.20,498.93,485.64,530.32,692.71,53.48,3,SIDEWAYS,NEUTRAL
GETI_B,Getinge AB Class B,OMXSTO,191.50,SEK,0.29,4.56,0.18,-4.23,-12.64,-12.40,-1.16,-32.24,15.16,737.31,1.81,2.36,187.02,191.95,191.08,199.91,204.76,51.40,3,SIDEWAYS,NEUTRAL
KMAR,Kongsberg Maritime ASA,OSL,57.70,NOK,-0.60,-1.70,-11.23,-11.23,-11.23,-11.23,-11.23,-11.23,-11.23,-11.23,2.47,13.32,59.75,0.00,0.00,0.00,0.00,0.00,3,SIDEWAYS,OVERSOLD
