name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
PCAR,PACCAR Inc,NASDAQ,112.76,USD,0.88,-3.01,-11.22,-13.51,16.79,2.71,18.11,78.70,201.34,22905.30,1.41,2.55,113.93,120.56,118.81,120.01,110.12,37.35,2,SIDEWAYS,NEUTRAL
TFC,Truist Financial Corporation,NYSE,47.28,USD,1.59,-6.86,-4.98,-13.10,5.65,-4.01,14.84,-23.11,41.77,1398.31,2.04,2.16,48.96,49.67,47.92,49.52,47.41,39.78,2,SIDEWAYS,NEUTRAL
FAST,Fastenal Company,NASDAQ,44.02,USD,0.57,-2.13,-3.09,-7.03,8.05,9.34,10.46,62.98,285.97,139311.89,1.81,2.03,44.18,45.21,45.36,44.71,44.78,44.94,2,SIDEWAYS,NEUTRAL
EA,Electronic Arts Inc.,NASDAQ,199.97,USD,-0.10,-0.38,-1.20,-1.25,-0.65,-2.17,35.05,45.91,166.38,38682.06,0.32,0.40,200.81,202.32,201.74,202.21,195.26,29.77,2,SIDEWAYS,OVERSOLD
EXC,Exelon Corporation,NASDAQ,44.37,USD,0.21,-0.98,-7.50,-3.39,-2.56,1.85,3.97,38.29,78.58,314.78,1.48,2.05,45.04,46.77,47.55,46.38,45.76,36.28,2,SIDEWAYS,NEUTRAL
YUM,"Yum! Brands, Inc.",NYSE,150.38,USD,0.41,-3.29,-6.45,-6.14,0.29,-0.77,3.21,26.02,160.74,2514.20,2.50,2.21,153.52,157.64,157.81,157.70,152.42,38.94,2,SIDEWAYS,NEUTRAL
DHI,"D.R. Horton, Inc.",NYSE,141.79,USD,0.75,-4.67,-2.21,-14.01,-1.48,-1.77,12.62,47.58,387.59,8482.00,2.06,2.82,145.35,148.34,144.96,149.69,154.28,42.08,2,SIDEWAYS,NEUTRAL
BDX,"Becton, Dickinson and Company",NYSE,145.31,USD,0.78,-3.77,-6.26,-19.66,-4.21,-4.83,5.78,-21.91,14.05,4834.24,3.52,2.69,146.74,151.70,154.82,159.99,154.38,42.31,2,SIDEWAYS,NEUTRAL
WEC,WEC Energy Group Inc,NYSE,111.39,USD,-0.72,-1.94,-4.01,-1.58,0.13,5.41,8.50,15.74,86.18,3930.15,1.28,1.61,113.64,115.23,115.14,112.69,111.60,38.54,2,SIDEWAYS,NEUTRAL
EQT,EQT Corporation,NYSE,55.85,USD,-0.14,-1.29,-2.82,-2.02,-5.42,4.69,0.34,157.97,45.11,12118.76,1.47,2.55,57.00,58.17,60.58,58.13,56.25,36.42,2,SIDEWAYS,NEUTRAL
