ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],KLAC,KLA Corporation,NASDAQ,256.42,stock,common,100.00,1.00,false,0.00,USD,0.74,18341409.00,1.45,334955095528.11,USD,72.49,3.54,28.55,0.31,Electronic technology,america,Electronic Technology,Buy,Buy,0.74,26.32,40.06,77.24,109.66,103.55,198.51,694.19,3409.72,221667.50,9.32,5.62,StrongBuy,Strong buy,StrongBuy,Strong buy,Neutral,Neutral,76.07,62.42,40.41,212.85,94.09,86.61,0.00,264.28,3.83,4.11,204064.00,3.55,18341409.00,82.15,256.46,0.02,3973876.00,151.80,72.49,2.52,25.62,57.49,76.75,84.20,68.14,336142517528.11,25.68,61.47,57.36,221.35,196.83,188.54,168.02,142.04
[object Object],PLTR,Palantir Technologies Inc. Class A,NASDAQ,134.71,stock,common,100.00,1.00,false,0.00,USD,5.25,41497603.00,1.09,322941933069.62,USD,151.77,0.89,287.60,0.00,Technology services,america,Technology Services,Buy,Buy,5.25,-0.71,1.44,-11.61,-28.24,-25.70,0.67,459.19,1247.10,1247.10,4.39,4.44,Sell,Sell,StrongSell,Strong sell,Buy,Buy,46.73,-25.94,-7.33,-57.22,12.02,9.98,0.00,130.00,1.57,2.51,672287.00,1.59,41497603.00,16.98,134.76,0.04,5030236.00,12.46,151.77,0.50,62.99,38.22,127.17,128.83,43.10,315224362069.62,60.34,158.25,156.19,136.41,137.90,139.36,143.14,160.31
[object Object],SNDK,Sandisk Corporation,NASDAQ,2107.86,stock,common,100.00,1.00,false,0.00,USD,6.45,9092407.00,0.80,312152493380.89,USD,73.27,28.77,0.00,0.00,Electronic technology,america,Electronic Technology,Buy,Buy,6.45,29.00,59.57,194.39,875.91,762.64,5041.12,5912.15,5912.15,5912.15,11.09,8.10,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,73.88,346.43,318.57,205.93,95.54,82.06,long_lower_shadow_bullish,2099.87,6.05,4.04,418526.00,6.11,9092407.00,-24.00,2106.00,-0.09,595622.00,4143.24,73.27,0.00,23.58,22.64,71.34,74.20,88.60,308624493380.89,23.41,56.30,54.82,1776.81,1579.57,1321.48,970.17,583.36
[object Object],TXN,Texas Instruments Incorporated,NASDAQ,313.34,stock,common,100.00,1.00,false,0.00,USD,4.06,7453746.00,0.86,285168484129.93,USD,53.61,5.85,10.75,1.87,Electronic technology,america,Electronic Technology,Buy,Buy,4.06,6.68,3.52,59.98,76.16,79.09,59.79,64.99,403.20,28789.25,4.43,3.76,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,59.98,20.14,-0.76,74.67,52.01,37.52,rising_window_bullish,310.81,3.22,3.28,11262.00,2.99,7453746.00,38.84,313.72,0.12,2354326.00,77.62,53.61,4.79,14.93,16.99,36.60,76.97,56.12,294115484129.93,15.95,44.29,33.58,298.02,299.58,275.16,240.53,208.68
[object Object],MRVL,"Marvell Technology, Inc.",NASDAQ,308.88,stock,common,100.00,1.00,false,0.00,USD,10.43,54508582.00,0.70,270208232021.82,USD,105.55,2.93,0.00,0.09,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,10.43,6.99,77.62,234.65,257.09,256.10,353.83,473.38,3001.20,2501.09,11.51,9.74,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,67.70,89.45,67.25,95.24,73.62,63.88,rising_window_bullish,296.87,6.14,5.72,964254.00,6.08,54508582.00,29.29,305.39,-1.13,5018487.00,231.38,105.55,0.00,28.66,14.85,134.18,165.68,71.79,271887032021.82,31.19,190.10,100.27,284.99,217.09,187.03,135.99,109.69
[object Object],LIN,Linde plc,NASDAQ,521.48,stock,common,100.00,1.00,false,0.00,USD,-0.40,2859009.00,1.12,241236399928.23,USD,34.61,15.07,9.34,1.17,Process industries,america,Process Industries,Buy,Buy,-0.40,2.83,0.91,4.84,23.28,22.33,10.80,76.93,363.25,5859.77,2.04,1.81,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,59.77,24.07,9.70,138.19,86.71,79.12,0.00,518.88,-0.90,0.08,4584.00,-0.86,2859009.00,30.47,522.09,0.12,776294.00,8.15,34.61,3.72,7.05,6.26,23.32,47.72,61.42,265120399928.23,7.65,28.18,20.07,510.60,506.79,504.87,493.25,466.93
[object Object],QCOM,QUALCOMM Incorporated,NASDAQ,220.81,stock,common,100.00,1.00,false,0.00,USD,4.29,13935680.00,0.71,232733741342.26,USD,24.02,9.19,-6.38,1.68,Electronic technology,america,Electronic Technology,Neutral,Neutral,4.29,-0.10,9.50,65.38,25.37,27.05,41.24,61.80,316.23,42132.97,8.16,7.43,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,53.56,-8.18,-3.82,-4.08,31.12,20.36,"rising_window_bullish,spinning_top_white",219.85,3.84,3.91,216068.00,3.80,13935680.00,-1.41,219.99,-0.37,2966515.00,60.70,24.02,0.00,5.10,8.57,16.57,18.93,24.16,238204741342.26,5.35,20.85,18.33,219.92,216.33,185.91,162.51,165.95
[object Object],PANW,"Palo Alto Networks, Inc.",NASDAQ,284.54,stock,common,100.00,1.00,false,0.00,USD,1.76,7389566.00,0.71,231900095950.99,USD,234.05,1.22,-30.43,0.00,Technology services,america,Technology Services,Buy,Buy,1.76,5.53,19.64,69.47,51.73,53.96,44.90,368.83,1192.97,2995.63,5.44,4.84,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,66.58,-15.94,31.64,75.22,63.75,53.68,0.00,279.78,0.06,2.31,26084.00,0.33,7389566.00,9.08,283.68,-0.30,1697235.00,67.61,234.05,0.00,21.12,8.36,54.05,60.08,73.03,230850095950.99,21.77,310.66,122.31,276.27,248.35,217.70,190.24,194.75
[object Object],STX,Seagate Technology Holdings PLC,NASDAQ,1018.80,stock,common,100.00,1.00,false,0.00,USD,9.43,5762810.00,1.92,228444488242.25,USD,96.71,10.54,52.23,0.31,Electronic technology,america,Electronic Technology,Buy,Buy,9.43,15.42,32.04,154.70,249.97,261.32,713.93,986.72,4345.03,8759.13,7.78,6.06,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,70.85,97.54,76.92,187.78,71.09,53.16,"rising_window_bullish,hanging_man_bearish",1028.02,10.42,3.66,116398.00,10.90,5762810.00,80.39,1015.08,-0.37,401571.00,663.46,96.71,1.69,19.36,208.79,81.09,96.73,203.40,231475488242.25,21.02,71.35,65.93,899.75,838.32,725.80,563.44,408.55
[object Object],WDC,Western Digital Corporation,NASDAQ,653.53,stock,common,100.00,1.00,false,0.00,USD,16.10,9475955.00,1.42,225260106819.33,USD,39.01,16.75,218.51,0.08,Electronic technology,america,Electronic Technology,Buy,Buy,16.10,20.98,38.83,126.67,263.27,268.81,1091.49,1061.23,1763.98,12480.19,8.66,6.10,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,71.24,107.33,43.83,223.50,68.47,48.91,rising_window_bullish,618.57,9.88,3.84,216049.00,9.92,9475955.00,50.62,653.91,0.06,1034953.00,900.27,39.01,0.15,18.50,23.29,76.97,87.06,78.13,223747106819.33,19.00,60.98,55.48,552.49,511.27,456.29,365.99,256.63
