ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],ABI,Anheuser-Busch InBev SA/NV,EURONEXT,70.76,stock,common,100.00,2.00,false,0.00,EUR,-0.73,1850074.00,1.01,163549309663.62,USD,23.47,3.54,13.86,1.13,Consumer non-durables,belgium,Consumer Non-Durables,Buy,Buy,-0.73,4.30,2.43,11.79,29.74,30.36,15.51,8.58,-35.38,269.89,1.72,1.72,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,57.75,1.52,1.72,49.08,72.20,67.82,engulfing_bearish,0.00,0.00,0.00,0.00,0.45,1850074.00,11.69,70.76,0.00,1147392.00,14.27,23.47,1.71,2.72,1.86,11.13,14.76,13.97,233992905015.39,3.79,14.96,10.88,69.49,69.75,67.16,65.15,59.21
[object Object],AIR,Airbus SE,EURONEXT,183.68,stock,common,100.00,2.00,false,0.00,EUR,2.45,1443230.00,1.23,163233064357.66,USD,28.95,7.33,13.19,1.78,Electronic technology,france,Electronic Technology,Buy,Buy,2.45,6.11,7.63,8.72,-5.31,-6.82,14.73,61.12,260.09,244.94,2.63,3.04,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,60.66,10.50,3.34,219.54,67.40,59.05,long_upper_shadow_bearish,0.00,0.00,0.00,0.00,2.12,1443230.00,4.25,183.68,0.00,672392.00,5.64,28.95,2.14,1.95,5.54,23.07,63.06,9.74,162986712817.66,1.94,28.89,17.47,176.38,175.15,173.37,177.68,189.53
[object Object],IBE,Iberdrola SA,BME,20.49,stock,common,100.00,1.00,false,0.00,EUR,0.84,23072887.00,2.78,156976358220.76,USD,22.48,1.05,17.09,1.72,Utilities,spain,Utilities,Buy,Buy,0.84,3.20,5.10,3.75,13.64,11.54,25.74,88.59,260.61,519.20,2.06,1.57,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,67.52,1.13,0.42,181.51,88.61,88.91,0.00,0.00,0.00,0.00,0.00,-0.10,23072887.00,129.34,0.00,0.00,0.00,29.18,22.48,1.30,2.99,2.71,0.00,0.00,0.00,234127183700.76,4.53,21.08,12.65,19.94,19.70,19.83,19.65,18.48
[object Object],DTE,Deutsche Telekom AG,XETR,27.85,stock,common,100.00,1.00,false,0.00,EUR,-1.66,6340460.00,0.98,156651270637.48,USD,15.35,2.10,-26.06,3.53,Communications,germany,Communications,StrongBuy,Strong buy,-1.66,0.87,0.43,-15.68,4.23,-0.36,-9.28,55.90,96.47,72.13,2.80,2.32,StrongSell,Strong sell,StrongSell,Strong sell,Sell,Sell,44.53,-0.97,-0.13,-68.27,29.59,34.46,0.00,28.66,1.20,0.85,5156.00,0.71,6340460.00,8.87,27.91,0.22,2887071.00,-17.10,15.35,0.00,1.15,2.13,3.34,4.71,15.14,345490713557.48,2.51,11.40,5.90,28.04,28.32,28.53,30.00,29.18
[object Object],ENR,Siemens Energy AG,XETR,156.20,stock,common,100.00,2.00,false,0.00,EUR,1.71,2478153.00,0.89,151324813545.42,USD,61.47,2.94,1076.39,0.46,Producer manufacturing,germany,Producer Manufacturing,Buy,Buy,1.71,1.56,-10.23,7.35,28.30,28.56,86.57,507.07,609.68,609.68,5.39,4.41,Sell,Sell,Sell,Sell,Neutral,Neutral,45.02,-3.80,-18.79,-45.92,28.12,16.63,0.00,160.58,4.56,3.93,10544.00,3.14,2478153.00,-23.59,154.50,-1.09,747940.00,128.90,61.47,0.06,3.33,12.43,17.98,23.80,11.63,142537118705.42,3.07,43.24,28.02,153.76,167.48,168.64,160.86,134.80
[object Object],UBSG,UBS Group AG,SIX,39.51,stock,common,100.00,1.00,false,0.00,CHF,1.57,8379492.00,1.35,147715677867.04,USD,17.66,2.80,67.64,2.20,Finance,switzerland,Finance,Neutral,Neutral,1.57,5.84,8.51,34.71,10.30,5.92,52.55,169.88,192.88,96.40,2.09,2.06,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,75.43,1.96,2.08,240.10,81.42,70.12,rising_window_bullish,0.00,0.00,0.00,0.00,1.18,8379492.00,13.00,39.51,0.00,2772225.00,34.02,17.66,0.26,2.89,1.65,0.00,0.00,0.00,313683100933.21,3.92,0.00,0.00,38.01,36.66,35.16,33.85,33.33
[object Object],SAF,Safran SA,EURONEXT,316.40,stock,common,10.00,1.00,false,0.00,EUR,3.36,1068928.00,1.77,147599783130.54,USD,18.42,20.17,0.00,1.09,Electronic technology,france,Electronic Technology,Buy,Buy,3.36,8.84,13.53,3.81,6.75,6.89,25.61,155.16,451.03,2826.92,2.83,3.01,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,64.34,19.40,14.00,217.68,64.36,51.62,rising_window_bullish,0.00,0.00,0.00,0.00,4.54,1068928.00,24.45,316.40,0.00,451792.00,13.89,18.42,0.00,4.10,8.89,23.10,29.48,19.33,146568113770.54,4.00,30.11,22.20,299.00,291.26,291.19,301.51,300.32
[object Object],RR.,Rolls-Royce Holdings plc,LSE,1358.40,stock,common,10.00,2.00,false,0.00,GBX,3.85,22107402.00,0.74,146594764203.86,USD,19.68,0.93,131.92,0.73,Electronic technology,uk,Electronic Technology,StrongBuy,Strong buy,3.85,11.55,15.12,10.94,22.60,17.10,55.49,1159.64,555.37,2111.40,3.22,4.20,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,64.69,85.60,52.70,191.98,76.46,64.15,rising_window_bullish,0.00,0.00,0.00,0.00,4.56,22107402.00,-12.64,1358.40,0.00,8161855.00,46.33,19.68,0.14,5.21,42.08,26.16,30.47,17.58,143609248003.86,5.03,29.22,23.43,1269.90,1243.53,1230.29,1240.11,1189.96
[object Object],BATS,British American Tobacco p.l.c.,LSE,4573.00,stock,common,1.00,1.00,false,0.00,GBX,-1.25,3692915.00,1.18,134154660278.11,USD,13.10,4.70,159.16,5.19,Consumer non-durables,uk,Consumer Non-Durables,Buy,Buy,-1.25,2.58,-8.17,0.55,7.10,9.69,28.96,62.05,11.69,1307.08,5.27,3.92,Neutral,Neutral,Buy,Buy,Sell,Sell,51.05,-8.00,-58.60,-85.27,71.50,66.98,0.00,0.00,0.00,0.00,0.00,-15.01,3692915.00,-12.69,4573.00,0.00,2147974.00,43.30,13.10,0.08,3.96,2.07,20.39,22.96,26.06,176311167878.11,5.11,12.71,10.19,4489.00,4602.40,4470.28,4447.05,4273.58
[object Object],CFR,Compagnie Financiere Richemont SA,SIX,180.75,stock,common,100.00,5.00,false,0.00,CHF,1.03,1376015.00,1.38,131645441077.68,USD,32.88,6.88,24.56,1.68,Consumer durables,switzerland,Consumer Durables,Buy,Buy,1.03,11.47,15.98,31.60,7.33,5.39,19.70,57.04,219.63,500.50,3.23,3.29,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,78.24,14.45,14.07,210.15,88.03,89.59,0.00,0.00,0.00,0.00,0.00,2.26,1376015.00,3.74,180.75,0.00,576534.00,-1.01,32.88,1.33,5.07,4.77,23.66,29.79,6.68,127402749252.92,4.89,23.52,17.48,169.66,161.15,156.88,153.15,156.34
